Run 1,Run 1,Run 1,Run 1,Run 1,Run 1,Run 1,Run 1,Run 1,,,,,
Time (s),Force (N),Acceleration - x (m/s²),Acceleration - y (m/s²),Acceleration - z (m/s²),Acceleration - resultant (m/s²),Angular Velocity - x (rad/s),Angular Velocity - y (rad/s),Angular Velocity - z (rad/s),,,,,acceleration resultant
5.25,0.02,19,-2.4,-5.2,19.9,1.5,-10.4,0.4,,,,,10.2
5.3,0.04,11.5,2.2,-9.7,15.2,0.2,6.7,0.6,,,,,5.5
5.35,0.06,0.7,3.1,0.2,3.2,-0.2,3.6,0.6,,,,,-6.5
5.4,0.05,3,0.5,0.7,3.1,0.2,-3.8,0.1,,,,,-6.6
5.45,0.05,6.5,1.5,-5.3,8.5,-0.1,0.3,-0.2,,,,,-1.2
5.5,0.05,6.9,1.6,-1.5,7.2,0,0.1,-0.4,,,,,-2.5
5.55,0.03,10.9,2.1,-3.7,11.7,-0.3,-1,0,,,,,2
5.6,0.04,9.9,0.7,-3.1,10.4,0,0.6,0,,,,,0.7
5.65,0.05,8.5,1.2,-2.5,9,0,-0.1,0.1,,,,,-0.7
5.7,0.04,8.5,1.8,-3.4,9.3,0,0,0,,,,,-0.4
5.75,0.04,7.2,1.9,-2.6,7.9,-0.1,0.1,0,,,,,-1.8
5.8,0.06,3.7,1.6,-2.8,5,-0.2,0.1,0,,,,,-4.7
5.85,0.06,1.6,0.3,-0.2,1.7,0.1,0.8,-0.4,,,,,-8
5.9,0.04,2.7,1.6,0.5,3.2,0.1,-1.4,-0.8,,,,,-6.5
5.95,0,15.5,4.3,-4.7,16.8,0.5,-4.4,-0.9,,,,,7.1
