Run 1,Run 1,Run 1,Run 1,Run 1,Run 1,Run 1,Run 1,Run 1,Run 2,Run 2,Run 2,Run 2,Run 2,Run 2,Run 2,Run 2,Run 2,Run 3,Run 3,Run 3,Run 3,Run 3,Run 3,Run 3,Run 3,Run 3
Time (s),Force (N),Acceleration - x (m/s²),Acceleration - y (m/s²),Acceleration - z (m/s²),Acceleration - resultant (m/s²),Acceleration 1 Resultant,Angular Velocity - y (rad/s),Angular Velocity - z (rad/s),Time (s),Force (N),Acceleration - x (m/s²),Acceleration - y (m/s²),Acceleration - z (m/s²),Acceleration - resultant (m/s²),Acceleration 2 resultant ,Angular Velocity - y (rad/s),Angular Velocity - z (rad/s),Time (s),Force (N),Acceleration - x (m/s²),Acceleration - y (m/s²),Acceleration - z (m/s²),Acceleration - resultant (m/s²),Accelertation 3 Resultant,Angular Velocity - y (rad/s),Angular Velocity - z (rad/s)
1.9,0.18,-23.3,-2,-2.4,23.5,13.9,1.8,-2.2,1.9,0.12,-1.9,5.9,-6.3,8.8,-0.8,-0.8,-0.6,1.9,0.06,16.8,15.2,-14.1,26.7,17,-2.7,0.4
1.95,0.13,-11.1,3.9,-2.4,12,2.4,-2,-1.3,1.95,0.11,3,-1.5,0.6,3.4,-6.2,-1.8,0.7,1.95,0.12,-3.4,-8.1,5.9,10.6,0.9,5.9,0.3
2,0.07,16.4,22,-18.1,32.8,23.2,-5.9,-0.3,2,0.12,1.1,0.2,-0.3,1.1,-8.5,2.1,-0.5,2,0.13,-7.2,7.6,-5.3,11.7,2,-1.2,-0.5
2.05,0.12,-2.3,-7.6,7.4,10.8,1.2,5.4,0.2,2.05,0.12,-0.9,-0.8,-1.8,2.1,-7.5,-1.3,-0.8,2.05,0.09,4.4,-3.1,0.7,5.4,-4.3,-3.5,0
2.1,0.12,-3.9,6.7,-4.7,9.1,-0.5,-1.1,-0.6,2.1,0.12,0.2,-1.2,0.1,1.3,-8.3,0.6,0.1,2.1,0.11,3.1,3.1,-3.9,5.8,-3.9,2.9,0.1
2.15,0.1,2.9,-2.6,0.2,3.9,-5.7,-1.9,0.9,2.15,0.12,0.4,2.8,0.2,2.8,-6.8,0.1,0,2.15,0.12,-5.5,-0.4,0.8,5.6,-4.1,0.9,-0.5
2.2,0.12,0.6,0.8,0.5,1.2,-8.4,2.7,0,2.2,0.19,-12.2,6.5,-1.2,13.9,4.3,1.6,0.9,2.2,0.1,0.6,0.1,1.4,1.5,-8.2,-1.6,0.1
2.25,0.12,-0.8,0.3,-2.6,2.7,-6.9,-1.9,-0.4,2.25,0.19,-23.9,1.7,-6.8,24.9,15.3,-2.9,1.3,2.25,0.1,1.9,0.9,-0.8,2.2,-7.5,0.8,0.4
2.3,0.12,1.5,-3,-0.1,3.3,-6.3,1.3,0.5,2.3,0.15,-10.9,-3.6,-1.5,11.6,2,1,0,2.3,0.21,-24,7.3,2.4,25.2,15.5,3.5,0.9
2.35,0.11,-1.4,2.4,-0.8,2.9,-6.7,-0.2,0.4,2.35,0.19,-23.3,-0.5,1.2,23.4,13.8,-0.4,0.6,2.35,0.18,-21.6,4.4,-0.9,22,12.3,-2.8,1.2
